Record_ID,geo_county,geo_subcounty
KEN-TRK-239,Turkana,Turkana South
KEN-TRK-240,Turkana,Turkana South
KEN-TRK-241,Turkana,Turkana South
LWC-2024-055,Turkana,Loima
KE_LWC_092,Turkana,Turkana North
KE_LWC_095,Turkana,Turkana Central
KEN-TRK-242,Turkana,Turkana South
KE_LWC_107,Turkana,Turkana West
KE_LWC_117,Turkana,Turkana North
KEN-TRK-244,Turkana,Turkana South
KE_LWC_128,Turkana,Turkana Central
KE_LWC_133,Turkana,Turkana West
KEN-TRK-245,Turkana,Turkana Central
KEN-TRK-246,Turkana,Turkana South
KE_LWC_144,Turkana,Loima
KE_LWC_150,Turkana,Turkana West
KE_LWC_155,Turkana,Turkana North
KE_LWC_166,Turkana,Turkana South
KE_LWC_171,Turkana,Turkana West
KE_LWC_181,Turkana,Loima
KE_LWC_186,Turkana,Turkana Central
KE_LWC_196,Turkana,Loima
KE_LWC_201,Turkana,Turkana Central
KE_LWC_206,Turkana,Turkana West
KE_LWC_211,Turkana,Loima
KE_LWC_214,Turkana,Turkana West
KE_LWC_220,Turkana,Turkana South
KEN-TRK-248,Turkana,Turkana Central
KE_LWC_226,Turkana,Turkana Central
KE_LWC_231,Turkana,Turkana West
KE_LWC_242,Turkana,Turkana North
KE_LWC_244,Turkana,Turkana West
KE_LWC_251,Turkana,Turkana Central
KE_LWC_256,Turkana,Turkana South
KE_LWC_262,Turkana,Loima
KE_LWC_266,Turkana,Turkana North
KE_LWC_269,Turkana,Turkana North
KE_LWC_273,Turkana,Turkana West
KE_LWC_285,Turkana,Turkana West
KE_LWC_291,Turkana,Loima
KE_LWC_294,Turkana,Turkana North
KE_LWC_299,Turkana,Turkana South
KE_LWC_307,Turkana,Turkana Central
KE_LWC_311,Turkana,Turkana West
KE_LWC_314,Turkana,Turkana West
KE_LWC_321,Turkana,Turkana East
KE_LWC_324,Turkana,Loima
KEN-TRK-254,Turkana,Turkana Central
KEN-TRK-255,Turkana,Turkana Central
KEN-TRK-256,Turkana,Turkana West
TUR-WAT-001,Turkana,Turkana West
TUR-LND-002,Turkana,Turkana South
TUR-WAT-003,Turkana,Turkana North
TUR-LND-004,Turkana,Turkana North
TUR-WAT-005,Turkana,Turkana Central
TUR-WAT-007,Turkana,Loima
TUR-WAT-009,Turkana,Turkana Central
TUR-LND-010,Turkana,Turkana Central
TUR-WAT-011,Turkana,Turkana Central
TUR-LND-012,Turkana,Turkana North
TUR-WAT-013,Turkana,Turkana West
TUR-LND-014,Turkana,Turkana West
TUR-WAT-015,Turkana,Turkana Central
TUR-WAT-017,Turkana,Loima
TUR-LND-018,Turkana,Loima
TUR-WAT-019,Turkana,Turkana South
TUR-LND-020,Turkana,Turkana South
TUR-LND-022,Turkana,Turkana Central
TUR-WAT-023,Turkana,Turkana West
TUR-LND-024,Turkana,Turkana West
TUR-WAT-025,Turkana,Turkana Central
TUR-LND-026,Turkana,Turkana South
TUR-LND-028,Turkana,Loima
TUR-WAT-029,Turkana,Turkana Central
TUR-WAT-031,Turkana,Turkana West
TUR-LND-032,Turkana,Turkana Central
TUR-WAT-033,Turkana,Turkana South
TUR-LND-034,Turkana,Turkana Central
TUR-WAT-035,Turkana,Turkana North
TUR-WAT-037,Turkana,Turkana West
TUR-LND-038,Turkana,Turkana South
TUR-WAT-039,Turkana,Turkana North
TUR-LND-040,Turkana,Turkana North
TUR-WAT-041,Turkana,Turkana Central
TUR-WAT-043,Turkana,Loima
TUR-WAT-045,Turkana,Turkana Central
TUR-LND-046,Turkana,Turkana Central
TUR-WAT-047,Turkana,Turkana Central
TUR-LND-048,Turkana,Turkana North
TUR-WAT-049,Turkana,Turkana West
TUR-LND-050,Turkana,Turkana South
TUR-WAT-051,Turkana,Turkana West
TUR-LND-052,Turkana,Turkana Central
TUR-WAT-053,Turkana,Turkana West
TUR-LND-054,Turkana,Turkana South
TUR-WAT-055,Turkana,Loima
TUR-LND-056,Turkana,Turkana North
TUR-WAT-057,Turkana,Turkana South
TUR-WAT-059,Turkana,Turkana Central
